Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
9,8
9,11
9,12
9,14
10,8
10,11
10,12
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,39
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
13,8
13,11
13,12
13,14
14,8
14,9
14,11
14,12
14,13
14,17
14,21
14,25
14,29
14,33
15,8
15,11
15,12
16,8
16,11
16,12
16,30
17,8
17,11
17,12
17,14
18,8
18,11
18,12
19,8
19,11
19,12
20,8
20,11
20,12
20,30
21,8
21,11
21,12
21,14
22,8
22,11
22,12
23,8
23,11
23,12
24,8
24,11
24,12
24,30
25,8
25,11
25,12
25,14
26,8
26,11
26,12
27,8
27,11
27,12
28,8
28,11
28,12
28,30
29,8
29,11
29,12
29,14
30,8
30,11
30,12
30,16
30,20
30,24
30,28
30,32
30,36
31,8
31,11
31,12
32,8
32,11
32,12
32,30
33,8
33,11
33,12
33,14
34,8
34,11
34,12
35,8
35,11
35,12
36,8
36,11
36,12
36,30
37,8
37,11
37,12
38,8
38,11
38,12
39,8
39,11
39,12
